;;;;;;;;;;;;;;;;;;;;x,,,,,
constitution;The Constitution;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
constitution_desc;Earl Warren has used the most powerful tool available to him, the Constitution, to save Russia.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
dzieci_neo;Dzieci Neo;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
dzieci_neo_desc;Young Poles, infused with the power of the Internet, roam the countryside, terrorizing the populace and destroying infrastructure.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
btc_crash;Bytecoin Crash!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
btc_crash_desc;The Bytecoin, hallmark of the Cyberstate economy, has crashed! We have hard times ahead of us.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
roman_cultural_unity;Roman Assimilation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
roman_cultural_unity_desc;Roads, aqueducts, and small Roman cities have sprung up all around this province. It's only a matter of time before the populace begins to embrace Roman culture and assimilate into our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
enhanced_gpus;Enhanced GPUs;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
kkk;Empowered KKK;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
kkk_desc;The Krishna Kulture Korps roam our streets, keeping true Aryans safe and terrorizing undesirables.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
